地域,令和2年 (2020),令和7年 (2025),令和12年 (2030),令和17年 (2035),令和22年 (2040),令和27年 (2045),令和32年 (2050),指数 令和17年 (2035),指数 令和32年 (2050)
全国,"126,146","123,262","120,116","116,639","112,837","108,801","104,686",92.5,83.0
北海道,"5,225","5,007","4,792","4,562","4,319","4,068","3,820",87.3,73.1
青森県,"1,238","1,157","1,077",996,914,833,755,80.4,61.0
岩手県,"1,211","1,138","1,066",995,924,853,783,82.2,64.7
宮城県,"2,302","2,239","2,172","2,097","2,014","1,924","1,830",91.1,79.5
秋田県,960,888,819,752,686,622,560,78.3,58.4
山形県,"1,068","1,005",945,886,828,769,711,83.0,66.6
福島県,"1,833","1,732","1,640","1,546","1,449","1,349","1,247",84.4,68.0
茨城県,"2,867","2,783","2,688","2,584","2,473","2,359","2,245",90.1,78.3
栃木県,"1,933","1,867","1,802","1,732","1,658","1,581","1,502",89.6,77.7
群馬県,"1,939","1,878","1,815","1,746","1,673","1,597","1,521",90.1,78.4
埼玉県,"7,345","7,316","7,224","7,101","6,953","6,794","6,634",96.7,90.3
千葉県,"6,284","6,258","6,179","6,076","5,956","5,824","5,690",96.7,90.5
東京都,"14,048","14,199","14,349","14,459","14,507","14,483","14,399",102.9,102.5
神奈川県,"9,237","9,201","9,122","9,012","8,869","8,703","8,524",97.6,92.3
新潟県,"2,201","2,084","1,974","1,863","1,751","1,637","1,525",84.6,69.3
富山県,"1,035",986,942,898,852,806,762,86.8,73.6
石川県,"1,133","1,092","1,057","1,019",979,937,897,90.0,79.2
福井県,767,733,703,672,639,606,573,87.6,74.7
山梨県,810,782,749,716,681,646,612,88.4,75.5
長野県,"2,048","1,974","1,899","1,822","1,743","1,663","1,582",89.0,77.2
岐阜県,"1,979","1,901","1,820","1,734","1,646","1,557","1,468",87.6,74.2
静岡県,"3,633","3,511","3,386","3,254","3,116","2,973","2,829",89.6,77.9
愛知県,"7,542","7,453","7,346","7,211","7,050","6,870","6,676",95.6,88.5
三重県,"1,770","1,703","1,637","1,568","1,496","1,422","1,347",88.6,76.1
滋賀県,"1,414","1,399","1,376","1,346","1,309","1,267","1,223",95.2,86.5
京都府,"2,578","2,518","2,445","2,361","2,267","2,170","2,076",91.6,80.5
大阪府,"8,838","8,676","8,438","8,167","7,874","7,570","7,263",92.4,82.2
兵庫県,"5,465","5,310","5,145","4,964","4,767","4,564","4,358",90.8,79.7
奈良県,"1,324","1,272","1,215","1,151","1,083","1,015",950,86.9,71.8
和歌山県,923,875,827,778,728,679,632,84.3,68.5
鳥取県,553,527,503,479,454,430,406,86.5,73.3
島根県,671,640,610,581,553,525,497,86.6,74.1
岡山県,"1,888","1,832","1,774","1,713","1,646","1,578","1,510",90.7,80.0
広島県,"2,800","2,704","2,618","2,526","2,428","2,328","2,230",90.2,79.6
山口県,"1,342","1,268","1,199","1,129","1,059",991,926,84.1,69.0
徳島県,720,679,640,601,561,520,481,83.5,66.8
香川県,950,911,875,838,800,762,724,88.2,76.2
愛媛県,"1,335","1,267","1,203","1,139","1,074","1,008","945",85.3,70.8
高知県,692,648,608,568,528,488,451,82.1,65.2
福岡県,"5,135","5,073","4,989","4,886","4,762","4,623","4,479",95.1,87.2
佐賀県,811,783,752,720,688,654,621,88.8,76.5
長崎県,"1,312","1,230","1,159","1,086","1,012","940","869",82.7,66.2
熊本県,"1,738","1,682","1,622","1,558","1,493","1,425","1,355",89.6,78.0
大分県,"1,124","1,078","1,031",984,936,888,841,87.6,74.9
宮崎県,"1,070","1,024","979","934","889","843","797",87.3,74.5
鹿児島県,"1,588","1,518","1,448","1,378","1,309","1,240","1,171",86.8,73.7
沖縄県,"1,467","1,462","1,459","1,451","1,438","1,419","1,391",98.9,94.8
減少県,39,46,46,46,46,47,47,,
